=================== STAGE A / arm routes / repeat 500 ===================
[nav-stress stress-A-routes-20260819105653] subject dist 2cce7616f7f96a0d  tests cf44d1061ebb87fa
  ✓   110 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (696ms)
  ✓   113 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.3s)
  ✓   115 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.3s)
  ✓   112 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.4s)
  ✓   114 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.5s)
  ✓   111 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.6s)
  ✓   117 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (772ms)
  ✓   116 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (839ms)
  ✓   120 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (650ms)
  ✓   118 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (727ms)
  ✓   119 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (754ms)
  ✓   122 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.3s)
  ✓   125 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.3s)
  ✓   124 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.4s)
  ✓   123 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.5s)
  ✓   121 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.6s)
  ✓   127 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (757ms)
  ✓   128 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (715ms)
  ✓   130 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (628ms)
  ✓   126 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (863ms)
  ✓   129 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (749ms)
  ✓   135 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.3s)
  ✓   131 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.3s)
  ✓   133 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.4s)
  ✓   132 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.5s)
